,Location ID,City,Area,Name,Address,Latitude,Longitude,Rating,Total Reviews,Place ID,Google Maps URL,full_location
0,LOC_1,Chennai,Alwarpet,Naturals Signature Salon Alwarpet,"No.37, 1st Floor, CP Ramaswamy Iyer Rd, opp. to Nilgiris, Alwarpet, Chennai, Tamil Nadu 600018, India",13.0325117,80.2569712,4.6,1097,ChIJB0quoslnUjoRf_vm8BiGHsM,https://www.google.com/maps/place/?q=place_id:ChIJB0quoslnUjoRf_vm8BiGHsM,Chennai AlwarpetNaturals Signature Salon Alwarpet
1,LOC_2,Chennai,Alwarpet,Naturals Lounge TTK,"No.220, Mowbrays Flats, TT Krishnamachari Rd, next to Dr.Agarwals Eye Hospital, Alwarpet, Chennai, Tamil Nadu 600018, India",13.0436909,80.2594781,4.6,669,ChIJfwi_pjZmUjoRtNJzL20D2-A,https://www.google.com/maps/place/?q=place_id:ChIJfwi_pjZmUjoRtNJzL20D2-A,Chennai AlwarpetNaturals Lounge TTK
2,LOC_3,Chennai,Alwarpet,Naturals Signature Salon,"No: 24-25, Venkatakrishna Rd, above Spencer's Daily, Perumal Koil Thottam, Ramakrishna Nagar, Mandaveli, Chennai, Tamil Nadu 600028, India",13.0267594,80.26140099999999,4.8,2834,ChIJT8VLUspnUjoRa_HrTUzVpa4,https://www.google.com/maps/place/?q=place_id:ChIJT8VLUspnUjoRa_HrTUzVpa4,Chennai AlwarpetNaturals Signature Salon
3,LOC_4,Chennai,Alwarpet,Naturals Salon,"28/10, Venkataswamy St, opposite Apollo Pharmacy, Pattinapakkam, Santhome, Mylapore, Chennai, Tamil Nadu 600004, India",13.030194,80.275652,4.8,439,ChIJ05jy-4dnUjoR8hWlWTOTQok,https://www.google.com/maps/place/?q=place_id:ChIJ05jy-4dnUjoR8hWlWTOTQok,Chennai AlwarpetNaturals Salon
4,LOC_5,Chennai,Alwarpet,Naturals Salon,"No 220, Mowbrays Flats, TT Krishnamachari Rd, next to Dr Agarwals Eye Hospital, Parthasarathypuram, Alwarpet, Chennai, Tamil Nadu 600018, India",13.0436178,80.2594846,5.0,1,ChIJ1cEdFYpnUjoRBTQevSN3-mU,https://www.google.com/maps/place/?q=place_id:ChIJ1cEdFYpnUjoRBTQevSN3-mU,Chennai AlwarpetNaturals Salon
10,LOC_1,Chennai,"Adambakkam, Brindavan Nagar",Naturals Salon,"N37 First Flr, 2nd Street Shawalace Col, Brindavan Nagar, Adambakkam, Chennai, Tamil Nadu 600088, India",12.9865709,80.2051812,4.9,369,ChIJD93nXvxdUjoRinIO5qSoRrc,https://www.google.com/maps/place/?q=place_id:ChIJD93nXvxdUjoRinIO5qSoRrc,"Chennai Adambakkam, Brindavan NagarNaturals Salon"
11,LOC_2,Chennai,"Adambakkam, Brindavan Nagar",Naturals Salon,"No.16A/17, Secretariat Colony Main Road, City Link Road, above Easyday Club, Adambakkam, Chennai, Tamil Nadu 600088, India",12.9973019,80.2072451,4.6,1368,ChIJP8-7AF1nUjoR3_YHwKTtq28,https://www.google.com/maps/place/?q=place_id:ChIJP8-7AF1nUjoR3_YHwKTtq28,"Chennai Adambakkam, Brindavan NagarNaturals Salon"
13,LOC_1,Chennai,Adyar,Naturals Salon,"1st Floor, 55, Indira Nagar, Adyar, Chennai, Tamil Nadu 600020, India",12.9988889,80.2518418,4.5,1012,ChIJUVZIAY1nUjoRXhgyHIOnkjg,https://www.google.com/maps/place/?q=place_id:ChIJUVZIAY1nUjoRXhgyHIOnkjg,Chennai AdyarNaturals Salon
14,LOC_2,Chennai,Adyar,Naturals Salon,"Ground Floor, Ceebros Enclave, No. 31, Seethammal Extension 1st Main Rd, Gandhi Nagar, Adyar, Chennai, Tamil Nadu 600020, India",13.007167,80.2516004,4.2,803,ChIJT28vgJNnUjoRiPj-mGCrlOA,https://www.google.com/maps/place/?q=place_id:ChIJT28vgJNnUjoRiPj-mGCrlOA,Chennai AdyarNaturals Salon
15,LOC_1,Chennai,Agaramthen Road,Naturals Salon,"No 3, Selaiyur, Tejraj Colony, Road, next to Bharath Engineering College, Agaramthen, Chennai, Tamil Nadu 600073, India",12.9060562,80.1423344,4.4,848,ChIJKQQtGyhfUjoRmN5Jlzd1bOc,https://www.google.com/maps/place/?q=place_id:ChIJKQQtGyhfUjoRmN5Jlzd1bOc,Chennai Agaramthen RoadNaturals Salon
16,LOC_2,Chennai,Agaramthen Road,Naturals Salon,"1, Road, near Head Secretariat Office Quarter, Kaspapuram, Tiruvanchery, Madambakkam, Agaramthen, Chennai, Tamil Nadu 600126, India",12.8896431,80.1430728,5.0,41,ChIJc2rZU8NZUjoRpHxFHkKBqzw,https://www.google.com/maps/place/?q=place_id:ChIJc2rZU8NZUjoRpHxFHkKBqzw,Chennai Agaramthen RoadNaturals Salon
